import_id,source_page,title,theme,category,level,duration,organisation,deroulement,variantes,schema_images
cahier-t1-024,17,5 passes,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Passe de 1 à 2"", ""Retour de passe de 2 à 1"", ""Passe de 1 à 3"", ""Retour de passe de 3 à 1"", ""Passe de 1 à 2""]","[""4 passes""]","[""schemas/exo_024_p17_5-passes.png""]"
cahier-t1-025,17,4 passes,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Passe de 1 à 2"", ""Retour de passe de 2 à 1"", ""Passe de 1 à 3"", ""Passe diagonale de 3 à 2""]","[""3 passes""]","[""schemas/exo_025_p17_4-passes.png""]"
cahier-t1-026,17,3 passes,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Passe de 1 à 2"", ""Retour de passe de 2 à 1"", ""Passe longue de 1 à 3""]","[""3 v 1""]","[""schemas/exo_026_p17_3-passes.png""]"
cahier-t1-027,17,3 v 1,Échauffement,Échauffement,Tous niveaux,8-12 min,Travail tout terrain / 1 ballon / Ligne de 3,"[""3vs1 en vague"", ""Les joueurs en attente sont placés corner""]","[""Faire la même chose à 3 v 2""]","[""schemas/exo_027_p17_3-v-1.png""]"
cahier-t1-028,18,Criss cross,Échauffement,Échauffement,Tous niveaux,8-12 min,Groupe de 3 / 1 ballon,"[""7 Passe à 1 puis passe derrière lui"", ""1 Passe à 4 puis passe derrière lui"", ""4 Passe à 7 qui tire"", ""1 prend le rebond, passe à 4 puis passe derrière lui"", ""4 passe à 7 puis passe derrière lui"", ""7 passe à 1 qui tire"", ""8 prend le rebond et enchaîne la même chose avec 2 et 5""]",[],"[""schemas/exo_028_p18_criss-cross.png""]"
cahier-t1-029,18,3 passes,Échauffement,Échauffement,Tous niveaux,8-12 min,Groupe de 3 / 1 ballon,"[""7 Passe à 1"", ""1 Passe à 7"", ""7 Passe à 4"", ""1 et 4 se croise, 7 prend le rebond"", ""7 passe à 4"", ""4 passe à 7"", ""7 passe à 1"", ""8 prend le rebond et enchaîne la même chose avec 2 et 5""]",[],"[""schemas/exo_029_p18_3-passes.png""]"
cahier-t1-030,18,2 passes,Échauffement,Échauffement,Tous niveaux,8-12 min,Groupe de 3 / 1 ballon,"[""7 Passe à 1"", ""1 Passe à 4"", ""1 et 4 se croise, 7 prend le rebond"", ""7 passe à 4"", ""4 passe à 1"", ""8 prend le rebond et enchaîne la même chose avec 2 et 5""]",[],"[""schemas/exo_030_p18_2-passes.png""]"
cahier-t1-031,19,Criss-cross à 3,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Passe de 2 à 1 puis passe derrière lui"", ""Passe de 1 à 3 puis passe derrière lui"", ""Passe de 3 à 2, puis passe derrière lui et va prendre le rebond"", ""Passe de 2 à 1 qui tire""]","[""Faire des passes en main à main, toucher les lignes de touche après sa passe, tout le monde doit marquer un panier…"", ""criss-cross à 3 ; 2 v 1""]","[""schemas/exo_031_p19_criss-cross-a-3.png""]"
cahier-t1-032,19,Criss-cross à 3 ; 2 v 1,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Criss cross à 3"", ""Le tireur défend sur les deux autres (joueur au choix)""]","[""criss cross à 3 ; 2 v 1 ; 1v1""]","[""schemas/exo_032_p19_criss-cross-a-3-2-v-1.png""]"
cahier-t1-033,19,Criss cross à 3 ; 2 v 1 ; 1 v 1,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Criss cross à 3"", ""Le tireur défend sur les deux autres (joueur au choix)"", ""Le défenseur repart contre le tireur (joueur au choix)""]","[""criss cross à 3 ; 2 v 1 ; 1v1 ; 1 v 0""]","[""schemas/exo_033_p19_criss-cross-a-3-2-v-1-1-v-1.png""]"
cahier-t1-034,19,Criss cross à 3 ; 2 v 1 ; 1 v 1 ; 1 V 0,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Criss cross à 3"", ""Le tireur défend sur les deux autres (joueur au choix)"", ""Le défenseur repart contre le tireur (joueur au choix)"", ""Le défenseur du 1 v 1 repart en 1 v 0 (4 dribbles)""]",[],"[""schemas/exo_034_p19_criss-cross-a-3-2-v-1-1-v-1-1-v-0.png""]"
cahier-t1-035,20,Criss-cross à 5,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 5 avec 1 ballon par groupe,"[""Passe de 1 à 2 puis passe derrière lui"", ""Passe de 2 à 3 puis passe derrière lui"", ""Passe de 3 à 4, puis passe derrière lui et va prendre le rebond"", ""Passe de 4 à 5"", ""Passe de 5 à 1 qui tire""]","[""Faire des passes en main à main, toucher les lignes de touches après sa passe, tout le monde doit marquer un panier…"", ""criss-cross à 5 ; 3 v 2""]","[""schemas/exo_035_p20_criss-cross-a-5.png""]"
cahier-t1-036,20,Criss-cross à 5 ; 3 v 2,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 5 avec 1 ballon par groupe,"[""Criss cross à 5"", ""Le tireur et le passeur défendent sur les trois autres (joueur au choix)""]","[""criss cross à 5 ; 3 v 2 ; 2 v 1""]","[""schemas/exo_036_p20_criss-cross-a-5-3-v-2.png""]"
cahier-t1-037,20,Criss-cross à 5 ; 3 v 2 ; 2 V 1,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Criss cross à 5"", ""Le tireur et le passeur défendent sur les deux autres (joueur au choix)"", ""Les deux défenseurs repartent en attaque contre le tireur (joueur au choix)""]","[""criss cross à 5 ; 3 v 2 ; 2 v 1 ; 1 v 1""]","[""schemas/exo_037_p20_criss-cross-a-5-3-v-2-2-v-1.png""]"
cahier-t1-038,20,Criss-cross à 5 ; 3 v 2 ; 2 V 1 ; 1 V 1,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec 1 ballon par groupe,"[""Criss cross à 5"", ""Le tireur et le passeur défendent sur les deux autres (joueur au choix)"", ""Les deux défenseurs repartent en attaque contre le tireur (joueur au choix)"", ""Le défenseur repart contre le tireur""]","[""criss cross à 5 ; 3 v 2 ; 2 v 1 ; 1 v 1 ; 1 v 0 (4 dribbles)""]","[""schemas/exo_038_p20_criss-cross-a-5-3-v-2-2-v-1-1-v-1.png""]"
cahier-t1-039,21,Philadelphia,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec des ballons milieu et corner (sauf la première ligne),"[""Passe de 2 à 1, passe de 2 à 3, 3 va au lay-up"", ""2 et 1 vont récupérer les ballons à 45° des joueurs en attente dans les corners""]","[""Mettre des contrats""]","[""schemas/exo_039_p21_philadelphia.png""]"
cahier-t1-040,21,Philadelphia + code de jeu,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec des ballons milieu et corner (sauf la première ligne),"[""Passe de 2 à 1, passe de 2 à 3, 3 se situe à 45°"", ""1 va dans le poste bas côté ballon, 2 lui vient sur l’axe"", ""3 passe à 1 qui joue dos au panier puis enchaine un écran pour démarquer 2"", ""3 flash et reçoit de 7 pour tirer, 2 reçoit de 9 pour tirer""]",[],"[""schemas/exo_040_p21_philadelphia-code-de-jeu.png""]"
cahier-t1-041,21,Philadelphia + code de jeu pick,Échauffement,Échauffement,Confirmé,8-12 min,Ligne de 3 avec des ballons milieu et corner (sauf la première ligne),"[""Passe de 2 à 1, passe de 2 à 3, 3 se situe à 45°"", ""1 va dans le corner côté ballon, 2 vient poser l’écran pour 3"", ""3 joue le pick se décale et ramène le ballon dans son dos sur 1"", ""1 passe à 2 qui joue dos au panier puis enchaine un écran pour démarquer 3"", ""1 flash et reçoit de 7 pour tirer, 3 reçoit de 9 pour tirer""]",[],"[""schemas/exo_041_p21_philadelphia-code-de-jeu-pick.png""]"
cahier-t1-042,22,Philadelphia + code de jeu,Échauffement,Échauffement,Tous niveaux,8-12 min,Ligne de 3 avec des ballons milieu et corner (sauf la première ligne),"[""Passe de 2 à 1, passe de 1 à 3, 3 se situe à 45°"", ""1 va dans le poste bas côté ballon, 2 lui reste 45° opposé"", ""3 passe à 1, Skip passe sur 2"", ""1 viens poser un écran pour 2 (suit le ballon)"", ""2 utilise l’écran et passe à 3, 3 passe à 1 (high low)"", ""2 et 3 se croisent pour aller récupérer les ballons des joueurs corner et tirer""]",[],"[""schemas/exo_042_p22_philadelphia-code-de-jeu.png""]"
cahier-t1-043,22,Philadelphia + code de jeu pick,Échauffement,Échauffement,Confirmé,8-12 min,Ligne de 3 avec des ballons milieu et corner (sauf la première ligne),"[""2 passe à 1"", ""1 prend le milieu et passe à 3, puis descend poste bas"", ""3 passe à 1"", ""1 skip passe à 2 puis va au pick"", ""2 joue le pick et passe à 3 (défense en step)"", ""3 passe à 1 (high low)"", ""2 et 3 se croisent pour aller récupérer le ballon à 45° et tirer""]",[],"[""schemas/exo_043_p22_philadelphia-code-de-jeu-pick.png""]"
cahier-t1-044,23,Triangle,Échauffement,Échauffement,Tous niveaux,8-12 min,Ballons dans la colonne 1 / répartir les joueurs en 3 colonnes,"[""1 passe à 2, coupe pour aller Poste haut, reçois la balle de 2 et passe à 3"", ""2 après sa passe à 1 coupe au panier et reçoit le ballon de 3 pour tirer"", ""3 après sa passe à 2 va prendre le rebond""]","[""Changer les finitions, les types de passes""]","[""schemas/exo_044_p23_triangle.png""]"
cahier-t1-045,23,Triangle + écran,Échauffement,Échauffement,Confirmé,8-12 min,Ballons dans la colonne 1 / répartir les joueurs en 3 colonnes,"[""1 passe à 2, coupe pour aller Poste haut, reçois la balle de 2, passe à 3 et enchaine un écran rentrant pour 2"", ""2 après sa passe à 1 descend à 45° et utilise l’écran de 1 (curl)"", ""3 après la passe de 1 descend en dribble pour ouvrir l’angle de passe puis passe à 2 et va prendre le rebond""]",[],"[""schemas/exo_045_p23_triangle-ecran.png""]"
cahier-t1-046,23,Triangle + surnombre,Échauffement,Échauffement,Tous niveaux,8-12 min,Ballons dans la colonne 1 / répartir les joueurs en 3 colonnes,"[""1 passe à 2, coupe pour aller Poste haut, reçois la balle de 2 puis passe à 3 et défend contre 2 et 3"", ""2 après sa passe à 1 attaque avec 3"", ""3 après la passe de 1 devient attaquant avec 2""]",[],"[""schemas/exo_046_p23_triangle-surnombre.png""]"
cahier-t1-047,24,Carré,Échauffement,Échauffement,Tous niveaux,8-12 min,Ballons dans la colonne 1 / répartir les joueurs en 4 colonnes,"[""1 passe à 2, coupe pour aller Poste haut, reçois la balle de 2 et passe à 3"", ""2 après sa passe à 1 coupe Poste haut, reçoit le ballon de 3 et passe à 4"", ""3 après sa passe à 2 coupe, reçoit de 4 pour tirer"", ""4 après sa passe prend le rebond""]",[],"[""schemas/exo_047_p24_carre.png""]"
cahier-t1-048,24,Carré + écran,Échauffement,Échauffement,Confirmé,8-12 min,Ballons dans la colonne 1 / répartir les joueurs en 4 colonnes,"[""1 passe à 2, coupe pour aller Poste haut, reçois la balle de 2 et passe à 3"", ""2 après sa passe à 1 coupe Poste haut, reçoit le ballon de 3, passe à 4 et pose un écran rentrant UCLA pour 3"", ""3 après sa passe à 2 coupe, reçoit de 4 pour tirer"", ""4 après sa passe prend le rebond""]",[],"[""schemas/exo_048_p24_carre-ecran.png""]"
cahier-t1-049,24,Carré + écran flex,Échauffement,Échauffement,Confirmé,8-12 min,Ballons dans la colonne 1 / répartir les joueurs en 4 colonnes,"[""1 passe à 2, coupe pour aller Poste haut, reçois la balle de 2 et passe à 3"", ""2 après sa passe à 1 coupe Poste haut, reçoit le ballon de 3, passe à 4 et pose un écran rentrant UCLA pour 3 et flash"", ""3 après sa passe à 2 coupe, et va poste bas"", ""4 passe à 2, 2 passe à 1, 3 pose un écran pour 4 qui reçoit de 1""]",[],"[""schemas/exo_049_p24_carre-ecran-flex.png""]"
cahier-t1-050,25,Enchainement 1,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et va prendre sa place"", ""4 drive ligne de fond pour tirer (lay-up, lay-back…)""]","[""Enchainement 1.2""]","[""schemas/exo_050_p25_enchainement-1.png""]"
cahier-t1-051,25,Enchainement 1.2,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et joue le passe et va""]","[""Enchainement 1.3""]","[""schemas/exo_051_p25_enchainement-1-2.png""]"
cahier-t1-052,25,Enchainement 1.3,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""3 joue le back door"", ""2 joue le main à main avec 4""]","[""Mettre un pick à la place du main à main, enchainement 1.4""]","[""schemas/exo_052_p25_enchainement-1-3.png""]"
cahier-t1-053,25,Enchainement 1.4,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""3 joue le back door"", ""2 joue le main à main avec 4 et défend sur 4""]",[],"[""schemas/exo_053_p25_enchainement-1-4.png""]"
cahier-t1-054,26,Enchainement 2.2,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et joue le passe et va""]","[""Enchainement 2.3""]","[""schemas/exo_054_p26_enchainement-2-2.png""]"
cahier-t1-055,26,Enchainement 2.3,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et va prendre sa place"", ""4 drive ligne de fond, s’arrête"", ""4 passe à 3 (passe de secours)""]","[""Attaque milieu, Enchainement 2.4""]","[""schemas/exo_055_p26_enchainement-2-3.png""]"
cahier-t1-056,26,Enchainement 2.4,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 joue le main à main avec 4"", ""4 hook passe à 3 pour tirer""]","[""Faire tirer 4, enchainement 2.5""]","[""schemas/exo_056_p26_enchainement-2-4.png""]"
cahier-t1-057,27,Enchainement 2.5,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et suit au pick"", ""4 attaque le pick et joue pour lui (stop tir)""]","[""Les finitions, enchainement 2.6""]","[""schemas/exo_057_p27_enchainement-2-5.png""]"
cahier-t1-058,27,Enchainement 2.6,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et suit au pick"", ""4 attaque le pick et passe à 3 (roll / pop)""]","[""Les finitions, enchainement 2.7""]","[""schemas/exo_058_p27_enchainement-2-6.png""]"
cahier-t1-059,27,Enchainement 2.7,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon / 4 spots,"[""1 passe à 2 et va prendre sa place"", ""2 passe à 3 et va prendre sa place"", ""3 passe à 4 et suit au pick"", ""4 attaque le pick, passe à 2 qui est position deuxième arrière"", ""2 donne à 3""]",[],"[""schemas/exo_059_p27_enchainement-2-7.png""]"
cahier-t1-060,28,Passe et va 1,Échauffement,Échauffement,Tous niveaux,8-12 min,Répartir les joueurs dans 6 colonnes,"[""1 fait une passe à 2 qui lui redonne"", ""1 fait la passe à 4 qui lui redonne pour tirer et va se placer dans la colonne 3"", ""4 prend le rebond et fait la passe à 3 qui lui redonne…""]",[],"[""schemas/exo_060_p28_passe-et-va-1.png""]"
cahier-t1-061,28,Passe et va 2,Échauffement,Échauffement,Tous niveaux,8-12 min,Répartir les joueurs dans 5 colonnes,"[""1 fait une passe à 2 qui lui redonne"", ""1 fait la passe à 4 qui lui redonne pour tirer"", ""1 prend le rebond et fait la même chose de l’autre côté 1 —> 2 —> 3 —> 4 —> 5 —> 1""]",[],"[""schemas/exo_061_p28_passe-et-va-2.png""]"
cahier-t1-062,28,Passe et va 3,Échauffement,Échauffement,Tous niveaux,8-12 min,"Les joueurs avec ballon sont dans le rond central, les joueurs sans ballon dans le prolongement de la ligne des lancers franc","[""1 avance en dribble, passe à 2 et va au panier"", ""2 lui refait la passe""]",[],"[""schemas/exo_062_p28_passe-et-va-3.png""]"
cahier-t1-063,28,Passe retour de passe,Échauffement,Échauffement,Tous niveaux,8-12 min,1 ballon par groupe / Groupe de 2,"[""1 et 2 échange les passes jusqu’au milieu de terrain"", ""2 utilise le dribble pour venir sur l’axe panier panier"", ""1 court le long de la ligne de touche puis va au panier"", ""2 lui fait la passe pour qu’il tire""]",[],"[""schemas/exo_063_p28_passe-retour-de-passe.png""]"
